DATE,TOTLL
1985-08-21,1375.2694
1985-08-28,1374.4037
1985-09-04,1381.7672
1985-09-11,1384.5869
1985-09-18,1385.9096
1985-09-25,1387.4102
1985-10-02,1386.3924
1985-10-09,1390.5198
1985-10-16,1387.796
1985-10-23,1386.8682
1985-10-30,1393.9334
1985-11-06,1398.9601
1985-11-13,1400.376
1985-11-20,1410.0913
1985-11-27,1411.0446
1985-12-04,1411.2486
1985-12-11,1413.9015
1985-12-18,1419.356
1985-12-25,1417.7764
1986-01-01,1426.1055
1986-01-08,1428.781
1986-01-15,1432.1244
1986-01-22,1430.1044
1986-01-29,1427.3226
1986-02-05,1431.0998
1986-02-12,1430.9313
1986-02-19,1435.9668
1986-02-26,1435.5692
1986-03-05,1442.5405
1986-03-12,1447.1186
1986-03-19,1451.7575
1986-03-26,1453.7691
1986-04-02,1455.0411
1986-04-09,1455.7404
1986-04-16,1459.1687
1986-04-23,1457.6363
1986-04-30,1462.9753
1986-05-07,1461.1449
1986-05-14,1465.3049
1986-05-21,1465.692
1986-05-28,1466.8669
1986-06-04,1467.1781
1986-06-11,1469.8525
1986-06-18,1470.0696
1986-06-25,1476.5046
1986-07-02,1478.4282
1986-07-09,1481.0932
1986-07-16,1484.727
1986-07-23,1486.7146
1986-07-30,1487.545
1986-08-06,1491.2773
1986-08-13,1489.7681
1986-08-20,1496.4108
1986-08-27,1501.1146
1986-09-03,1503.4384
1986-09-10,1501.5364
1986-09-17,1505.4277
1986-09-24,1505.6189
1986-10-01,1510.5205
1986-10-08,1505.3267
1986-10-15,1507.6374
1986-10-22,1508.748
1986-10-29,1509.0625
1986-11-05,1515.3989
1986-11-12,1523.5685
1986-11-19,1522.7897
1986-11-26,1533.3448
1986-12-03,1535.6116
1986-12-10,1540.6538
1986-12-17,1545.3851
1986-12-24,1565.0491
1986-12-31,1580.9775
1987-01-07,1576.5343
1987-01-14,1570.3073
1987-01-21,1573.957
1987-01-28,1578.1264
1987-02-04,1573.008
1987-02-11,1572.953
1987-02-18,1574.8844
1987-02-25,1578.8956
1987-03-04,1580.0344
1987-03-11,1580.443
1987-03-18,1585.4588
1987-03-25,1587.3593
1987-04-01,1594.0669
1987-04-08,1598.1184
1987-04-15,1606.0083
1987-04-22,1607.4605
1987-04-29,1606.6045
1987-05-06,1605.902
1987-05-13,1605.8139
1987-05-20,1611.8378
1987-05-27,1611.6023
1987-06-03,1610.8828
1987-06-10,1615.2673
1987-06-17,1616.9158
1987-06-24,1617.2872
1987-07-01,1613.7629
1987-07-08,1617.0932
1987-07-15,1620.4515
1987-07-22,1618.4712
1987-07-29,1621.7541
1987-08-05,1622.5568
1987-08-12,1627.3403
1987-08-19,1626.9799
1987-08-26,1630.9601
1987-09-02,1633.3413
1987-09-09,1641.371
1987-09-16,1647.7615
1987-09-23,1648.3245
1987-09-30,1658.7759
1987-10-07,1654.145
1987-10-14,1656.2555
1987-10-21,1666.5264
1987-10-28,1667.5864
1987-11-04,1661.6406
1987-11-11,1661.8504
1987-11-18,1663.0999
1987-11-25,1663.4658
1987-12-02,1666.0208
1987-12-09,1671.9293
1987-12-16,1673.1528
1987-12-23,1674.8921
1987-12-30,1674.1679
1988-01-06,1681.712
1988-01-13,1683.3909
1988-01-20,1683.239
1988-01-27,1688.8822
1988-02-03,1692.369
1988-02-10,1690.5416
1988-02-17,1693.8126
1988-02-24,1694.7578
1988-03-02,1700.9331
1988-03-09,1703.8075
1988-03-16,1705.7568
1988-03-23,1709.1408
1988-03-30,1711.1257
1988-04-06,1722.5535
1988-04-13,1717.0847
1988-04-20,1721.1623
1988-04-27,1726.1804
1988-05-04,1732.1778
1988-05-11,1737.4049
1988-05-18,1736.8141
1988-05-25,1742.0177
1988-06-01,1746.8505
1988-06-08,1747.4899
1988-06-15,1750.7058
1988-06-22,1756.1748
1988-06-29,1758.8375
1988-07-06,1767.8892
1988-07-13,1767.5883
1988-07-20,1770.2716
1988-07-27,1770.4156
1988-08-03,1771.657
1988-08-10,1778.2033
1988-08-17,1778.8268
1988-08-24,1779.6446
1988-08-31,1782.1281
1988-09-07,1782.669
1988-09-14,1782.4012
1988-09-21,1788.018
1988-09-28,1786.8225
1988-10-05,1793.3594
1988-10-12,1798.3312
1988-10-19,1796.4869
1988-10-26,1796.2807
1988-11-02,1803.0089
1988-11-09,1805.1897
1988-11-16,1808.4662
1988-11-23,1813.9347
1988-11-30,1813.5259
1988-12-07,1817.7759
1988-12-14,1816.9154
1988-12-21,1820.7929
1988-12-28,1818.9639
1989-01-04,1817.0446
1989-01-11,1823.5597
1989-01-18,1828.8038
1989-01-25,1831.2994
1989-02-01,1831.9033
1989-02-08,1846.1756
1989-02-15,1849.3703
1989-02-22,1848.8668
1989-03-01,1848.4422
1989-03-08,1847.9859
1989-03-15,1852.7115
1989-03-22,1851.7175
1989-03-29,1858.6763
1989-04-05,1862.3264
1989-04-12,1863.7813
1989-04-19,1869.9771
1989-04-26,1873.794
1989-05-03,1876.8165
1989-05-10,1879.2228
1989-05-17,1882.6874
1989-05-24,1886.4447
1989-05-31,1890.2291
1989-06-07,1891.567
1989-06-14,1891.7459
1989-06-21,1896.6333
1989-06-28,1896.5074
1989-07-05,1905.0404
1989-07-12,1907.8171
1989-07-19,1914.0678
1989-07-26,1926.047
1989-08-02,1926.9765
1989-08-09,1927.6968
1989-08-16,1932.0142
1989-08-23,1934.0608
1989-08-30,1933.7475
1989-09-06,1942.8604
1989-09-13,1943.3127
1989-09-20,1946.0372
1989-09-27,1943.3686
1989-10-04,1947.361
1989-10-11,1953.502
1989-10-18,1952.5537
1989-10-25,1958.7974
1989-11-01,1965.5936
1989-11-08,1959.5029
1989-11-15,1963.6104
1989-11-22,1966.3771
1989-11-29,1962.8567
1989-12-06,1966.7007
1989-12-13,1969.8268
1989-12-20,1969.9968
1989-12-27,1966.7529
1990-01-03,1965.3881
1990-01-10,1972.9148
1990-01-17,1973.9824
1990-01-24,1975.7323
1990-01-31,1976.2032
1990-02-07,1978.6997
1990-02-14,1979.9739
1990-02-21,1987.2774
1990-02-28,1985.2068
1990-03-07,1988.4602
1990-03-14,1986.5207
1990-03-21,1994.5574
1990-03-28,1992.1169
1990-04-04,1992.1391
1990-04-11,1997.7073
1990-04-18,2002.1012
1990-04-25,2001.1921
1990-05-02,2002.0196
1990-05-09,2006.6832
1990-05-16,2007.5142
1990-05-23,2009.0738
1990-05-30,2006.9565
1990-06-06,2012.7619
1990-06-13,2015.4672
1990-06-20,2017.8785
1990-06-27,2018.7205
1990-07-04,2012.5436
1990-07-11,2016.5675
1990-07-18,2021.6216
1990-07-25,2022.4669
1990-08-01,2024.1727
1990-08-08,2025.1292
1990-08-15,2030.5683
1990-08-22,2032.278
1990-08-29,2025.8635
1990-09-05,2032.5114
1990-09-12,2030.0789
1990-09-19,2030.4129
1990-09-26,2031.4523
1990-10-03,2035.1166
1990-10-10,2037.9116
1990-10-17,2037.7027
1990-10-24,2042.1872
1990-10-31,2041.7837
1990-11-07,2040.4767
1990-11-14,2042.4702
1990-11-21,2045.7109
1990-11-28,2042.1922
1990-12-05,2052.6016
1990-12-12,2054.1247
1990-12-19,2054.9051
1990-12-26,2054.3064
1991-01-02,2046.5772
1991-01-09,2046.4159
1991-01-16,2046.4967
1991-01-23,2050.7024
1991-01-30,2045.1167
1991-02-06,2048.305
1991-02-13,2049.2204
1991-02-20,2055.5153
1991-02-27,2055.4992
1991-03-06,2055.3679
1991-03-13,2059.2595
1991-03-20,2057.6339
1991-03-27,2057.5704
1991-04-03,2054.4744
1991-04-10,2055.6696
1991-04-17,2054.4429
1991-04-24,2055.7511
1991-05-01,2057.8791
1991-05-08,2052.1865
1991-05-15,2053.7044
1991-05-22,2053.8709
1991-05-29,2055.0247
1991-06-05,2055.2086
1991-06-12,2054.9954
1991-06-19,2050.9268
1991-06-26,2055.7068
1991-07-03,2044.7451
1991-07-10,2048.1951
1991-07-17,2041.4159
1991-07-24,2043.5019
1991-07-31,2041.8284
1991-08-07,2037.6659
1991-08-14,2035.2273
1991-08-21,2036.5777
1991-08-28,2035.8038
1991-09-04,2035.909
1991-09-11,2034.3641
1991-09-18,2037.9119
1991-09-25,2037.0595
1991-10-02,2035.5239
1991-10-09,2036.6021
1991-10-16,2041.2105
