fhfb_id,district,member_name,city,state,zip,mem_type,char_type,cert,fed_id,ots_id,ncua_id,appr_date
"14818","Cincinnati","BANK OF THE BLUEGRASS and TRU","Lexington","KY","40507","Commercial Bank","State","21161","1006513","","","17sep1997"
"14820","Des Moines","Quoin Financial Bank","Miller","SD","57362","Commercial Bank","State","15629","0592550","","","18sep1997"
"14821","Dallas","Medical Assurance Company","Ridgeland","MS","39157","Insurance Company","None","","","","","10sep1997"
"14822","Dallas","New Era Life Insurance Company","Houston","TX","77079","Insurance Company","None","","","","","10sep1997"
"14826","Atlanta","Farmers and Merchants Bank","Eatonton","GA","31024","Commercial Bank","State","09069","0064730","","","18sep1997"
"14827","Atlanta","First and Citizens Bank","Monterey","VA","24465","Commercial Bank","State","13011","0762625","","","18sep1997"
"14828","Atlanta","First State Bank","Wrens","GA","30833","Commercial Bank","State","19163","0036933","","","18sep1997"
"14829","Atlanta","Industrial Bank","Washington","DC","20011","Commercial Bank","State","14679","0536527","","","18sep1997"
"14830","Atlanta","Pineland State Bank","Metter","GA","30439","Commercial Bank","State","18605","0882130","","","18sep1997"
"14832","Atlanta","Spivey State Bank","Swainsboro","GA","30401","Commercial Bank","State","19389","0090739","","","18sep1997"
"14833","Atlanta","The Coastal Bank","Hinesville","GA","31310","Commercial Bank","State","20134","0224637","","","18sep1997"
"14836","Atlanta","The Talbot Bank of Easton","Easton","MD","21601","Commercial Bank","State","01893","0796125","","","18sep1997"
"14837","Dallas","Texas Capital Bank, N.A.","Dallas","TX","75201","Commercial Bank","National","34383","2618780","","","18sep1997"
"14839","Topeka","The Bank of Kremlin - Kremlin, OK","Kremlin","OK","73753","Commercial Bank","State","11526","0883959","","","22sep1997"
"14840","Des Moines","Northwest Bank and Trust Company","Davenport","IA","52806","Commercial Bank","State","15830","0901741","","","09dec1996"
"14844","Seattle","First National Bank of Alaska","Anchorage","AK","99501","Commercial Bank","National","16130","0114260","","","23sep1997"
"14845","Seattle","Northwest Community Credit Union","Springfield","OR","97477","Credit Union","State","","","","61716","23sep1997"
"14848","Des Moines","Plains Commerce Bank","Hoven","SD","57450","Commercial Bank","State","01678","0593052","","","23sep1997"
"14850","Indianapolis","HURON COMMUNITY BANK","East Tawas","MI","48730","Commercial Bank","State","11810","0475345","","","23sep1997"
"14852","Chicago","Associated Bank, National Association","Green Bay","WI","54307","Commercial Bank","National","05296","0917742","","","24sep1997"
"14853","Chicago","Cornerstone Community Bank","Grafton","WI","53024","Commercial Bank","State","33137","1478231","","","24sep1997"
"14854","Chicago","The First National Bank","Vandalia","IL","62471","Commercial Bank","National","03840","0137447","","","24sep1997"
"14855","Chicago","Prairie National Bank","Stewardson","IL","62463","Commercial Bank","National","03741","0408147","","","24sep1997"
"14856","Chicago","Town and Country Bank of Quincy","Quincy","IL","62301","Commercial Bank","State","10460","0349343","","","24sep1997"
"14857","Des Moines","Sunrise Banks, National Association","Saint Paul","MN","55103","Commercial Bank","National","18561","0860053","","","24sep1997"
"14861","Topeka","Security Home Bank - Malmo, NE","Malmo","NE","68040","Commercial Bank","State","14639","0210452","","","24sep1997"
"14862","Topeka","The Girard National Bank","Girard","KS","66743","Commercial Bank","National","04673","0928056","","","24sep1997"
"14863","Des Moines","Missouri Bank (The)","Warrenton","MO","63383","Commercial Bank","State","14036","0309150","","","25sep1997"
"14865","Dallas","OMNIBANK","Mantee","MS","39751","Commercial Bank","State","08871","0854548","","","25sep1997"
"14867","Des Moines","First National Bank of Menahga and Sebeka","Menahga","MN","56464","Commercial Bank","National","05197","0923855","","","26sep1997"
"14869","Indianapolis","GRANT COUNTY STATE BANK","Swayzee","IN","46986","Commercial Bank","State","15687","0933340","","","29sep1997"
"14870","Chicago","Apple River State Bank","Apple River","IL","61001","Commercial Bank","State","17453","0594938","","","29sep1997"
